max_depth,min_samples_split,criterion,accuracy,precision,recall,f1_score
3,3,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,4,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,5,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,6,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,7,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,8,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,9,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,10,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,11,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,12,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,13,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,14,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,15,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,16,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,17,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,18,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,19,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
3,20,entropy,0.8322374204437568,0.7030379746835443,0.4356078431372549,0.5379176755447942
4,3,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,4,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,5,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,6,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,7,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,8,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,9,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,10,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,11,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,12,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,13,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,14,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,15,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,16,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,17,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,18,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,19,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
4,20,entropy,0.8356482295439361,0.7263774287995741,0.42807843137254903,0.5386893012238453
5,3,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,4,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,5,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,6,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,7,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,8,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,9,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,10,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,11,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,12,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,13,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,14,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,15,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,16,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,17,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,18,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,19,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
5,20,entropy,0.8385315939379022,0.7121103973352367,0.4694901960784314,0.5658914728682171
6,3,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,4,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,5,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,6,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,7,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,8,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,9,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,10,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,11,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,12,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,13,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,14,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,15,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,16,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,17,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,18,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,19,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
6,20,entropy,0.840571046801927,0.7283552468370131,0.4605490196078431,0.5642898327887756
7,3,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,4,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,5,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,6,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,7,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,8,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,9,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,10,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,11,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,12,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,13,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,14,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,15,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,16,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,17,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,18,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,19,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
7,20,entropy,0.8406062097823411,0.7287630402384501,0.4602352941176471,0.5641765214883183
